id,title,category,servings,prepMinutes,cookMinutes,ingredients,steps,notes
57,Roasted Beef,Lunch,4,14,32,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 32, ""seconds"": 0}]",Automatically generated sample recipe.
58,Roasted Rice,Snack,4,20,28,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 28, ""seconds"": 0}]",Automatically generated sample recipe.
59,Baked Lentils,Dinner,6,6,11,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 11, ""seconds"": 0}]",Automatically generated sample recipe.
60,Stewed Tofu,Seafood,2,15,35,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 35, ""seconds"": 0}]",Automatically generated sample recipe.
61,Pan-Seared Rice,Snack,4,7,21,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 21, ""seconds"": 0}]",Automatically generated sample recipe.
62,Baked Rice,Lunch,6,17,30,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 30, ""seconds"": 0}]",Automatically generated sample recipe.
63,Stewed Salmon,Dinner,6,7,30,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 30, ""seconds"": 0}]",Automatically generated sample recipe.
64,Baked Rice,Snack,4,5,23,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 23, ""seconds"": 0}]",Automatically generated sample recipe.
65,Grilled Pasta,Lunch,4,14,38,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 38, ""seconds"": 0}]",Automatically generated sample recipe.
66,Grilled Salmon,Dessert,6,16,20,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 20, ""seconds"": 0}]",Automatically generated sample recipe.
67,Grilled Chicken,Vegan,6,15,39,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 39, ""seconds"": 0}]",Automatically generated sample recipe.
68,Roasted Pork,Lunch,6,9,27,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 27, ""seconds"": 0}]",Automatically generated sample recipe.
69,Roasted Tofu,Snack,4,16,23,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 23, ""seconds"": 0}]",Automatically generated sample recipe.
70,Baked Chicken,Lunch,6,20,20,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 20, ""seconds"": 0}]",Automatically generated sample recipe.
71,Pan-Seared Shrimp,Vegan,6,11,37,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 37, ""seconds"": 0}]",Automatically generated sample recipe.
72,Stewed Tofu,Dinner,4,12,30,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 30, ""seconds"": 0}]",Automatically generated sample recipe.
73,Grilled Shrimp,Lunch,6,8,44,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 44, ""seconds"": 0}]",Automatically generated sample recipe.
74,Pan-Seared Rice,Snack,4,18,39,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 39, ""seconds"": 0}]",Automatically generated sample recipe.
75,Stir-Fried Pork,Vegan,2,6,23,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 23, ""seconds"": 0}]",Automatically generated sample recipe.
76,Baked Shrimp,Vegan,2,8,33,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 33, ""seconds"": 0}]",Automatically generated sample recipe.
77,Slow-Cooked Pork,Dessert,2,19,18,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 18, ""seconds"": 0}]",Automatically generated sample recipe.
78,Stewed Vegetables,Seafood,6,11,24,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 24, ""seconds"": 0}]",Automatically generated sample recipe.
79,Pan-Seared Tofu,Vegan,6,17,19,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 19, ""seconds"": 0}]",Automatically generated sample recipe.
80,Stir-Fried Rice,Dessert,2,19,10,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 10, ""seconds"": 0}]",Automatically generated sample recipe.
81,Pan-Seared Shrimp,Seafood,4,9,34,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 34, ""seconds"": 0}]",Automatically generated sample recipe.
82,Slow-Cooked Tofu,Seafood,6,20,33,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 33, ""seconds"": 0}]",Automatically generated sample recipe.
83,Pan-Seared Pork,Breakfast,4,8,42,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 42, ""seconds"": 0}]",Automatically generated sample recipe.
84,Stewed Pasta,Dessert,4,15,15,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 15, ""seconds"": 0}]",Automatically generated sample recipe.
85,Baked Rice,Dinner,4,16,42,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 42, ""seconds"": 0}]",Automatically generated sample recipe.
86,Grilled Lentils,Seafood,2,15,39,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 39, ""seconds"": 0}]",Automatically generated sample recipe.
87,Baked Vegetables,Vegan,2,20,20,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 20, ""seconds"": 0}]",Automatically generated sample recipe.
88,Stewed Pasta,Dinner,4,18,44,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 44, ""seconds"": 0}]",Automatically generated sample recipe.
89,Grilled Vegetables,Breakfast,4,20,22,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 22, ""seconds"": 0}]",Automatically generated sample recipe.
90,Stir-Fried Rice,Lunch,6,19,11,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 11, ""seconds"": 0}]",Automatically generated sample recipe.
91,Slow-Cooked Vegetables,Lunch,6,12,38,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 38, ""seconds"": 0}]",Automatically generated sample recipe.
92,Stir-Fried Vegetables,Seafood,4,12,26,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 26, ""seconds"": 0}]",Automatically generated sample recipe.
93,Pan-Seared Vegetables,Dessert,2,12,19,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 19, ""seconds"": 0}]",Automatically generated sample recipe.
94,Pan-Seared Tofu,Snack,4,20,35,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 35, ""seconds"": 0}]",Automatically generated sample recipe.
95,Baked Chicken,Seafood,6,13,13,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 13, ""seconds"": 0}]",Automatically generated sample recipe.
96,Roasted Rice,Lunch,6,13,12,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 12, ""seconds"": 0}]",Automatically generated sample recipe.
97,Grilled Chicken,Vegan,6,16,15,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 15, ""seconds"": 0}]",Automatically generated sample recipe.
98,Roasted Shrimp,Snack,6,9,18,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 18, ""seconds"": 0}]",Automatically generated sample recipe.
99,Stewed Rice,Vegan,4,11,31,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 31, ""seconds"": 0}]",Automatically generated sample recipe.
100,Roasted Salmon,Vegan,4,17,21,"[{""name"": ""Salt"", ""quantity"": 1, ""unit"": ""tsp""}, {""name"": ""Pepper"", ""quantity"": 0.5, ""unit"": ""tsp""}, {""name"": ""Olive oil"", ""quantity"": 2, ""unit"": ""tbsp""}]","[{""id"": 1, ""description"": ""Prepare ingredients."", ""minutes"": 1, ""seconds"": 0}, {""id"": 2, ""description"": ""Cook using chosen method."", ""minutes"": 21, ""seconds"": 0}]",Automatically generated sample recipe.
